ADDRESS,ZIPCODE,LAST_UPDATE_DATE,YEAR,NPA_NAME,LATITUDE,LONGITUDE,Location_1,SCHOOL_DISTRICT,POPULATION_2010,MEDIAN_AGE,PCT_UNDER_18,PCT_OVER_65,PCT_HIGHSCHOOL_DIPLOMA,PCT_UNEMPLOYED,TOTAL_JOBS_AREA,MEDIAN_HOUSEHOLD_INCOME,PCT_RENTING,PCT_VACANT,PCT_FORECLOSURES,MEDIAN_HOUSE_AGE,SUB_STANDARD_STRUCTURE_COMPLAINTS,CRIMES_PROPERTY,CRIMES_PEOPLE,UNINSURED_RATE,SCHOOL_SUBSIDIZED_MEALS,COMMERCIAL_BLD_PERMITS,RESIDENTIAL_BLD_PERMITS,REPORTED_S,EMERGENCY_,PCT_POOR_STREETS,SANITARY_SEWER_OVERFLOW_RATE,PCT_NEAR_GROCERY_STORE,PCT_NEAR_PARK,PCT_NEAR_LIBRARY,PCT_VOTER_TURNOUT
4218 BIRCHMAN AVE,76107,55:25.3,2017,Near Westside,32.735,-97.3813,"(32.735,-97.3813)",FORT WORTH ISD,16158,38,0.14741885,0.15702536,0.92032994,0.03421693,29566,71459,0.46754945,0.10937986,0,56,35,67.83585113,14.70162644,0.14307891,5.06153544,62,133,19,0,0.06845359,3,0.62068325,0.82293601,0.90920906,0
1350 ROMA LN,76134,55:25.3,2017,Highland Hills,32.6649,-97.309,"(32.6649,-97.309)",EVERMAN ISD,3463,33,0.29297473,0.16266242,0.81517162,0.06088603,11899,44181,0.29475001,0.07728945,0,50,15,50.94537815,22.05882353,0.25831231,10.20346516,10,9,0,0,0.05734988,0,0.08374242,0.64106266,0.76667629,0
2100 HERITAGE TRACE PKWY,76177,55:25.3,2017,Tehama Ridge,32.9144,-97.3307,"(32.9144,-97.3307)",NORTHWEST ISD,11198,31,0.30204078,0.05572111,0.91353844,0.05373039,3136,85318,0.25848988,0.10628282,0,12,2,44.09584016,9.52157965,0.12922878,3.21485565,33,486,7,0,0.01675269,3,0.21700801,0.94372217,0,0
3622 SUFFOLK DR,76109,55:25.3,2017,Greater TCU,32.6918,-97.3741,"(32.6918,-97.3741)",FORT WORTH ISD,25942,35,0.184332,0.12374026,0.96904008,0.05781308,17571,91103,0.36626332,0.08645537,0,55,13,40.44834308,5.09821562,0.07700304,3.49577725,64,199,13,0,0.02693994,8,1,0.76925449,0.4836173,0
4605 M AVE,76105,55:25.3,2017,Stop Six,32.725,-97.2555,"(32.725,-97.2555)",FORT WORTH ISD,16494,33,0.29499151,0.12966815,0.68959029,0.17436801,1654,28896,0.4478533,0.12133119,0,55,82,71.04251407,38.6694155,0.28465538,11.75328611,17,70,32,0,0.04531137,19,0.95598399,0.94719292,1,0
1943 S MAIN ST,76110,55:25.3,2017,Near Southside,32.7241,-97.325,"(32.7241,-97.325)",FORT WORTH ISD,8091,38,0.18669655,0.10885427,0.75994198,0.08560376,26438,49232,0.59093991,0.13430389,0,68,27,119.01779,34.07667251,0.27759526,6.72703475,65,54,17,0,0.11736339,8,0.60545476,0.94868832,1,0
4244 TOWER LN,76036,55:25.3,2016,Greater Summer Creek\ Chisholm Trail,32.5654,-97.3856,"(32.5654,-97.3856)",CROWLEY ISD,12115,37,0.23983543,0.10680865,0.24163848,0.09336797,651,88585,0.11419371,0.08561721,0.50454087,12,1,14.56748743,5.80121181,0.11128172,28.80441726,0,160,4,16,0.00734796,0,0,0.43402602,0.55352868,0.43229901
5361 BRAHMA TRL,76179,55:25.3,2016,Greater Marine Creek,32.8585,-97.4044,"(32.8585,-97.4044)",EAGLE MT SAGINAW ISD,24754,30,0.3318247,0.04522206,0.24734043,0.05056059,2056,68671,0.19270954,0.03732678,0.12374706,11,10,21.3415756,6.69683924,0.14906763,54.86047919,28,380,4,27,0.01103093,5,0.31303637,0.73988557,0.55619294,0.28912484
10821 OLD WEATHERFORD RD,76108,55:25.3,2017,Greater Chapel Creek,32.7402,-97.5196,"(32.7402,-97.5196)",FORT WORTH ISD,19931,37,0.25442138,0.10854168,0.91264873,0.04826492,1747,73908,0.22727575,0.02947324,0,21,24,23.59406832,7.53304591,0.12234514,6.26399841,27,137,7,0,0.01530108,4,0.34139124,0.70314459,0,0
11030 RICHARDO LN,76244,55:25.3,2016,Heritage\ Alliance Town Center,32.9337,-97.2953,"(32.9337,-97.2953)",KELLER ISD,34124,31,0.35669617,0.04306005,0.14417274,0.03749804,5869,97267,0.27624695,0.06536267,0,11,8,28.43287933,6.14764958,0.08897166,29.69683293,84,234,7,16,0.01987207,1,0.46296516,0.91920479,0.72257062,0.32600339
