Day,RFD,BPD,TRD_hi,TRD_lo,WRD
177,0,30.04,101.1,79.3,3
178,0,30.14,92.3,71.9,6
179,0,30.15,91,71.3,4
180,0,30.13,93.3,71.9,4
181,0,30,98.3,71.6,3
182,0,29.93,95.5,74.8,5
183,0,29.9,98.2,76.6,4
184,0,29.95,100.2,79.3,4
185,0,29.97,100.4,80.9,6
186,0,29.93,101.2,79.8,5
187,0,29.9,103.2,81.2,5
188,0,29.91,103.1,81,4
189,0,29.94,105.5,82.1,3
190,0,29.97,105.2,82.5,2
191,0,29.93,101.8,80.1,4
192,0,29.85,101.2,78.4,4
193,0,29.88,102.5,77.1,4
194,0,29.93,104.3,77.8,2
195,0,29.98,95.1,81,5
196,0,30.03,99.8,75,3
197,0,29.95,100.3,77,4
198,0,29.87,104.7,82.8,4
199,0,29.83,107.7,83.4,5
200,0,29.8,109.1,82.2,6
201,0,29.81,107.7,81.9,5
202,0.01,29.88,98.5,82.1,4
203,0,29.95,100.6,80.4,5
204,0,29.97,100.5,76.2,5
205,0,29.96,103.2,81.5,5
206,0,29.93,104.2,82.9,5
207,0,29.92,103.6,80.3,5
208,0,29.92,103.5,81.6,5
209,0,29.91,103.2,80.9,5
210,0,29.95,104.5,80.7,5
211,0,29.99,101.4,82.2,3
212,0,30.01,104.4,82.5,4
213,0,30,101.4,81.9,4
214,0,29.92,103.2,82.1,5
215,0,29.84,103.2,81.6,5
216,0,29.88,102,80.5,4
217,0,29.92,104.3,81.1,4
218,0,29.99,99.2,77.5,5
219,0,30.03,100.8,79.3,5
220,0,30,103.7,81.1,4
221,0.04,29.99,101.9,79.6,4
222,0.12,30.03,101.5,75.3,2
223,0,30.01,97.6,73.4,3
224,0,30.01,97.2,76.7,5
225,0,30,99.1,77.8,4
226,0,29.94,99,75,3
227,0,29.91,101,78.8,3
228,0,29.89,100.9,80.1,3
229,0,29.91,103.3,76.6,4
230,0.2,29.95,83.6,74,2
231,0,29.93,92.6,71.9,3
232,0,29.97,95,74.7,4
233,0,29.99,86.4,77.4,4
234,1.18,29.9,79.1,72.8,4
235,0.12,29.88,84.9,72.4,3
236,0,29.95,90.5,72.9,3
237,0,30,93.4,70.9,3
238,0,29.98,94.5,72.6,3
239,0,29.86,94.6,75.4,4
240,0,29.8,96.4,77.4,6
241,0,29.88,94.7,76,5
242,0.21,29.98,91.8,75.9,2
243,0.02,30.03,91.1,74.5,2
244,0.03,30,88.2,72.6,2
245,0.02,29.98,85.3,73.4,3
246,0,30.03,97.6,72,1
247,1.07,29.97,95.8,68,1
248,0,29.94,92.4,67.8,2
249,0,29.99,96.1,72,2
250,0,29.99,95.8,72.1,2
251,0,29.88,90.8,73,3
252,0,29.81,89,68.7,3
253,0,29.95,90.5,64.9,2
254,0,30.12,84.3,67.6,2
255,0,30.06,88,61.5,1
256,0,29.97,90.6,66.2,4
257,0,30.02,89.7,65.8,4
258,0,30.06,89.3,64.9,4
259,0,30.01,92.3,68.6,4
260,0,29.96,94.3,74.6,5
261,0,29.97,96,75.7,4
262,0,29.99,96.6,74.9,3
263,0,30,98.7,73,2
264,0,29.98,98.6,72.2,2
265,0,29.97,99.9,69.8,1
266,0,29.98,97.1,71.8,4
267,0,29.96,98.3,76.9,3
268,0.05,29.95,99.4,76,2
269,0,30.09,88.4,64.3,3
270,0,30.14,89.9,58.7,2
271,0,30.2,91.5,65.7,3
272,0,30.19,82,62,5
273,0,30.08,82.6,56.7,3
274,0,30.07,83.6,51.5,2
275,0,30.17,85.8,54,2
276,0,30.17,86.7,54.4,1
277,0,30.1,86.5,57.6,2
278,0,30.1,88.4,57.1,1
279,0,30.14,91.3,60.9,1
280,0,30.22,88.5,62.4,2
281,0,30.32,76.5,60.5,3
282,0,30.27,81.6,56.8,1
283,0,30.15,87.5,62.5,3
284,0,30.03,83.9,64.6,5
285,0,29.9,93.8,67.6,4
286,0,30.03,83.2,55.4,2
287,0,29.97,88.3,54.8,2
288,0,29.93,93.3,71.4,5
289,0.14,30.02,79.6,63.1,4
290,0,30.16,70.2,53.2,3
291,0,30.3,64.1,44.5,2
292,0,30.31,66.7,36.5,1
293,0,30,83.3,50.1,2
294,0,29.89,91.1,51.3,3
295,0,29.79,85.4,63.7,8
296,0,29.79,86,68.6,9
297,2.27,29.74,76,61.1,4
298,0.02,29.94,68.5,49.6,4
299,0,30.08,73,45.1,1
300,0,30.02,73.4,49.1,4
301,2.22,30.09,61.3,51.9,4
302,0.05,30.06,64.1,53.6,2
303,0,29.98,74.3,53.8,0
304,0,30.03,77.1,50.3,0
305,0,30.15,78.2,52.6,2
306,0,30.19,74.1,56.3,3
307,0,30.02,78.6,65.1,6
308,1.4,29.81,74.2,48.4,7
309,0,29.91,65.2,43.1,3
310,0,29.92,81.5,52.2,4
311,0.17,30.16,79.8,64.3,3
312,0,30.22,79.9,68.6,5
313,0,30.12,82.5,67.8,6
314,0,29.9,72.7,64.1,4
