Day,RFD,BPD,TRD_hi,TRD_lo,WRD
708,0.15,30.12,66.3,57,4
709,0.61,30.09,71.5,53.2,4
710,0.05,30.15,56.4,50.3,2
711,0.06,29.98,61.4,52.7,7
712,0.37,29.73,66.9,48,6
719,0.03,30.41,55.7,37.7,4
751,0.02,30.04,57.5,43.8,4
754,1.26,30.02,46.6,33.4,6
755,0.01,30.17,41.6,34.4,4
762,0.03,30.43,30.6,25.8,2
763,0.14,30.4,33.2,30.1,1
764,0.31,30.58,53.3,29.6,1
768,0.61,30.04,62.7,47,5
769,1.32,30.03,48.5,38.4,5
775,0.85,29.67,70.4,51.2,9
783,0.73,29.6,80.6,58.1,8
786,0.02,30.31,48.2,38.2,2
787,0.07,29.92,76.7,46.8,6
788,0.04,29.8,75.9,52.9,6
790,0.02,29.76,71.9,58.5,3
791,0.9,29.55,82,53.3,6
792,0.51,29.71,65.1,45.1,5
797,0.13,30.12,62.9,51,4
798,0.2,30.09,68.5,53.2,3
805,0.16,29.84,69.3,43.2,10
810,0.08,30.03,66.1,49,8
811,0.01,29.97,82.1,65.6,9
813,0.25,29.71,74.2,61.3,5
819,0.02,29.97,71.4,58.6,7
820,0.04,29.83,87.3,66.8,9
822,0.4,29.9,81.2,55.9,5
823,0.01,29.66,93.1,61.4,6
825,0.01,29.94,76.3,51.2,6
840,0.45,29.88,84.4,61.8,6
843,0.1,30.17,57.2,46.3,5
846,0.47,29.9,61.5,53.2,7
847,0.01,29.86,67.4,53.6,2
848,0.02,29.85,75.9,50.4,4
856,0.15,29.88,89.5,68,5
857,0.12,29.92,85.3,66.3,6
858,0.05,29.86,88.6,70.8,5
860,0.01,29.9,76.4,66.9,2
864,0.45,30.08,76.4,68,1
869,0.73,29.96,94.4,68.6,3
879,0.01,29.92,91,68.4,3
880,0.02,29.92,86.7,66.2,2
884,0.17,29.85,92.6,65.4,3
886,1.41,29.93,87.4,64.2,3
891,0.01,29.73,93.4,73.9,6
892,0.44,29.78,98.7,71.4,3
894,0.08,29.82,76.7,67.7,4
896,0.01,29.72,96.1,73,4
902,0.12,29.79,92.6,77.8,6
914,0.02,29.9,101.9,72.9,4
917,0.32,29.96,98.9,76.4,4
920,0.43,29.87,88.8,73.7,4
922,0.1,29.93,95.3,73.9,6
927,0.45,30,85.4,75.2,4
976,0.02,29.89,103,74.9,3
985,0.01,29.98,84.6,69.8,2
986,0.08,29.92,83.1,69.3,1
987,0.05,29.91,75.6,69,2
988,0.01,29.95,83.2,67.8,2
992,0.06,29.86,96.1,71.9,4
993,0.08,29.83,92.7,70.3,5
1007,0.74,29.84,95.6,69.2,4
1008,0.19,29.96,82.6,68.3,2
1009,0.02,30.11,88.4,63.1,2
1010,0.01,30.28,72.1,54.3,3
1011,0.01,30.11,80.4,48.9,2
1026,0.01,29.9,78.7,70.2,4
1027,1.17,29.91,73.3,70.1,4
1028,1.35,29.95,79.5,67.8,4
1029,1.66,29.91,81.6,67.7,3
