Day,RFD,BPD,TRD_hi,TRD_lo,WRD
1,0,29.86,77.8,52.3,6
2,0,29.76,77,62.5,6
3,0,29.84,67.6,46,3
4,0,30.08,57.1,37,1
5,0,30.3,61.3,36.6,1
6,0,30.15,70,40.6,6
7,0,30.19,63.7,48,4
8,0,30.32,60.9,39,2
9,0,30.19,68.7,39,4
10,0,29.94,80.8,50.6,4
11,0,29.8,83.3,57.7,6
12,0,30.23,65.9,41.7,7
13,0,30.43,57.2,32.7,1
14,0,30.25,61.4,34.8,5
15,0,29.89,69.4,45.8,10
16,0,29.74,74,56.7,6
17,0,29.76,75.4,51.7,3
18,0,29.75,70.8,56.1,6
19,0,30.1,58.6,42.3,4
20,0,30.24,61.5,37.6,3
21,0.02,30.04,57.5,43.8,4
22,0,30.05,53.7,35.6,4
23,0,30.28,53.2,30.9,3
24,1.26,30.02,46.6,33.4,6
25,0.01,30.17,41.6,34.4,4
26,0,30.39,53.7,30.7,2
27,0,30.27,62,33.9,5
28,0,30.04,66.6,45.2,7
29,0,30.12,59.7,28.4,6
30,0,30.36,28.4,24.8,6
31,0,30.43,26.5,24.3,4
32,0.03,30.43,30.6,25.8,2
33,0.14,30.4,33.2,30.1,1
34,0.31,30.58,53.3,29.6,1
35,0,30.35,59.7,33.9,5
36,0,30.17,70.4,40.6,4
37,0,29.97,73.1,53.2,9
38,0.61,30.04,62.7,47,5
39,1.32,30.03,48.5,38.4,5
40,0,30.13,63.7,33.8,2
41,0,30.4,48.2,35.9,6
42,0,30.37,54.9,33.9,3
43,0,30.16,67.2,34.8,3
44,0,29.98,66.8,43.9,5
45,0.85,29.67,70.4,51.2,9
46,0,29.76,77.8,47.5,6
47,0,30.15,62.3,34.3,8
48,0,30.53,50.9,29.7,3
49,0,30.4,53.5,33.9,5
50,0,30.14,71,46.2,6
51,0,29.89,79.1,59.1,5
52,0,29.68,88.3,61.6,7
53,0.73,29.6,80.6,58.1,8
54,0,30.08,66.7,42.9,6
55,0,30.32,48.6,40,4
56,0.02,30.31,48.2,38.2,2
57,0.07,29.92,76.7,46.8,6
58,0.04,29.8,75.9,52.9,6
59,0,29.8,84.3,52.4,4
60,0.02,29.76,71.9,58.5,3
61,0.9,29.55,82,53.3,6
62,0.51,29.71,65.1,45.1,5
63,0,29.95,76.6,45.4,4
64,0,30,79,54.2,7
65,0,29.97,82,58.1,5
66,0,30,72.8,58.8,2
67,0.13,30.12,62.9,51,4
68,0.2,30.09,68.5,53.2,3
69,0,30.12,66.4,45.3,4
70,0,29.71,85.8,57.6,7
71,0,29.92,67.7,49.9,7
72,0,30.26,60.8,44.2,5
73,0,30.31,64,40.7,4
74,0,30.16,69.6,45.5,7
75,0.16,29.84,69.3,43.2,10
76,0,30.21,55.5,38.3,7
77,0,30.39,54.9,37.4,3
78,0,30.52,54.9,32,3
79,0,30.27,56.2,39.3,7
80,0.08,30.03,66.1,49,8
81,0.01,29.97,82.1,65.6,9
82,0,29.89,84.3,67.6,8
83,0.25,29.71,74.2,61.3,5
84,0,29.83,77.6,50.8,4
85,0,29.89,80,47.9,3
86,0,30.07,73.2,44.9,4
87,0,30.3,65.6,47.6,4
88,0,30.21,65.7,47.9,3
89,0.02,29.97,71.4,58.6,7
90,0.04,29.83,87.3,66.8,9
91,0,30.11,77,56,4
92,0.4,29.9,81.2,55.9,5
93,0.01,29.66,93.1,61.4,6
94,0,29.58,81.2,70.8,9
95,0.01,29.94,76.3,51.2,6
96,0,30.27,58.1,48.7,6
97,0,30.28,61.5,50.3,4
98,0,30.18,75.6,54.4,3
99,0,30.2,72.4,52.3,2
100,0,30.26,75.2,55,3
101,0,30.24,78.6,51,2
102,0,30.1,80,52.8,3
103,0,29.8,82,57.9,5
104,0,29.73,80.8,59.9,7
105,0,29.86,82,58.7,6
106,0,30.25,72.7,46.4,3
107,0,30.07,82.2,48.3,4
108,0,29.87,73.2,59.4,8
109,0,29.83,84.2,65.4,10
110,0.45,29.88,84.4,61.8,6
111,0,29.99,77.8,54.7,3
